CUST_ID;BALANCE;BALANCE_FREQUENCY;PURCHASES;ONEOFF_PURCHASES;INSTALLMENTS_PURCHASES;CASH_ADVANCE;PURCHASES_FREQUENCY;ONEOFF_PURCHASES_FREQUENCY;PURCHASES_INSTALLMENTS_FREQUENCY;CASH_ADVANCE_FREQUENCY;CASH_ADVANCE_TRX;PURCHASES_TRX;CREDIT_LIMIT;PAYMENTS;MINIMUM_PAYMENTS;PRC_FULL_PAYMENT;TENURE
C10001;0.002147795;0.818182;0.001945368;0.0;0.00424;0.0;0.166667;0.0;0.083333;0.0;0.0;0.005586592;0.033333333;0.003978631;0.001825896;0.0;1.0
C10002;0.168169097;0.909091;0.0;0.0;0.0;0.136684909;0.0;0.0;0.0;0.166666667;0.032520325;0.0;0.233333333;0.080893387;0.014034726;0.222222;1.0
C10003;0.131026136;1.0;0.015766248;0.01896826;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.033519553;0.25;0.012264364;0.008209867;0.0;1.0
C10004;0.087520791;0.636364;0.030567152;0.036775123;0.0;0.004365723;0.083333;0.083333;0.0;0.055555333;0.008130081;0.002793296;0.25;0.0;0.0;0.0;1.0
C10005;0.042940103;1.0;0.000326267;0.00039253;0.0;0.0;0.083333;0.083333;0.0;0.0;0.0;0.002793296;0.04;0.013373717;0.003203813;0.0;1.0
C10006;0.095038365;1.0;0.02718784;0.0;0.059256889;0.0;0.666667;0.0;0.583333;0.0;0.0;0.022346369;0.06;0.027602855;0.031505896;0.0;1.0
C10008;0.095764295;1.0;0.008894858;0.0;0.019386667;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.076666667;0.013388116;0.00696323;0.0;1.0
C10009;0.053296176;1.0;0.017567242;0.016228403;0.008888889;0.0;0.333333;0.083333;0.25;0.0;0.0;0.01396648;0.233333333;0.013569764;0.004082959;0.0;1.0
C10010;0.007993744;0.545455;0.026133998;0.031441627;0.0;0.0;0.166667;0.166667;0.0;0.0;0.0;0.008379888;0.366666667;0.022964048;0.00131275;0.0;1.0
C10011;0.067905032;1.0;0.018762807;0.0;0.040894222;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.04;0.021357834;0.028436142;0.0;1.0
C10012;0.033124516;0.818182;0.030428081;0.036607808;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.016759777;0.066666667;0.013911632;0.002035817;0.0;1.0
C10013;0.07965749;1.0;0.065620274;0.061338404;0.031900444;0.0;1.0;0.25;0.916667;0.0;0.0;0.072625698;0.1;0.01199223;0.006415801;0.25;1.0
C10014;0.048400287;1.0;0.043596018;0.010302923;0.076354222;0.0;0.75;0.166667;0.75;0.0;0.0;0.072625698;0.25;0.032646747;0.003286879;0.083333;1.0
C10015;0.145604819;1.0;0.0;0.0;0.0;0.007357486;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.1;0.015883762;0.012956576;0.0;1.0
C10016;0.361611255;1.0;0.032865296;0.0;0.071631111;0.048825359;0.5;0.0;0.5;0.111111333;0.032520325;0.030726257;0.266666667;0.039301675;0.027614333;0.0;1.0
C10017;0.108809498;0.875;0.0;0.0;0.0;0.059067446;0.0;0.0;0.0;0.166666667;0.024390244;0.0;0.1;0.007727979;0.004928652;0.0;0.666666667
C10018;0.002157706;0.454545;0.01058329;0.0;0.023066667;0.0;0.416667;0.0;0.333333;0.0;0.0;0.022346369;0.083333333;0.005019385;0.000958079;0.25;1.0
C10019;0.104450861;1.0;0.010284552;0.004072495;0.015037778;0.0;0.666667;0.083333;0.583333;0.0;0.0;0.025139665;0.433333333;0.033927189;0.009745457;0.0;1.0
C10023;0.006949602;0.636364;0.016637585;0.0;0.036262222;0.0;1.0;0.0;1.0;0.0;0.0;0.047486034;0.06;0.046521312;0.001129876;0.0;1.0
C10025;0.281916303;1.0;0.0;0.0;0.0;0.016949451;0.0;0.0;0.0;0.242424;0.032520325;0.0;0.2;0.028049785;0.021686757;0.0;0.916666667
C10026;0.008915635;1.0;0.008148522;0.0;0.01776;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.1;0.004244871;0.002133407;0.0;1.0
C10027;0.084858241;1.0;0.002079953;0.002502377;0.0;0.005194208;0.166667;0.166667;0.0;0.166666667;0.040650407;0.005586592;0.056666667;0.017550331;0.012710789;0.0;1.0
C10028;0.006600531;1.0;0.004756975;0.0;0.010368;0.0;1.0;0.0;1.0;0.0;0.0;0.033519553;0.033333333;0.004096365;0.002156223;0.0;1.0
C10030;0.001158606;1.0;0.00203917;0.0;0.004444444;0.0;0.416667;0.0;0.416667;0.0;0.0;0.01396648;0.23;0.003169619;0.002089941;0.0;1.0
C10032;0.061033706;1.0;0.027482093;0.009813242;0.042120444;0.003729872;1.0;0.083333;1.0;0.111111333;0.016260163;0.125698324;0.2;0.012736187;0.003361625;0.0;1.0
C10033;0.353556376;1.0;0.006626282;0.007972032;0.0;0.025235556;0.083333;0.083333;0.0;0.111111333;0.024390244;0.008379888;0.35;0.033913024;0.032808138;0.0;1.0
C10034;0.006598726;1.0;0.012985228;0.015622436;0.0;0.0;0.916667;0.916667;0.0;0.0;0.0;0.030726257;0.04;0.008348527;0.002569188;0.3;1.0
C10036;0.086978876;1.0;0.0;0.0;0.0;0.00210586;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.06;0.006930006;0.008305206;0.0;1.0
C10038;0.212542739;1.0;0.048543452;0.040287528;0.032816889;0.036015302;0.75;0.5;0.75;0.222222;0.056910569;0.11452514;0.166666667;0.031897616;0.020170372;0.0;1.0
C10039;0.329221894;1.0;0.004159906;0.005004753;0.0;0.062067733;0.083333;0.083333;0.0;0.222222;0.097560976;0.005586592;0.3;0.024390289;0.026822544;0.0;1.0
C10041;0.034839205;0.727273;0.0;0.0;0.0;0.066466891;0.0;0.0;0.0;0.166666667;0.024390244;0.0;0.06;0.060468615;0.003708252;0.166667;1.0
C10043;0.041216408;0.909091;0.031129759;0.01929038;0.032901778;0.046426582;0.583333;0.416667;0.333333;0.166666667;0.089430894;0.075418994;0.1;0.024887081;0.004752791;0.111111;1.0
C10044;0.215548019;1.0;0.004156235;0.005000337;0.0;0.0;0.083333;0.083333;0.0;0.0;0.0;0.002793296;0.15;0.017118491;0.023574849;0.0;1.0
C10045;0.071455783;1.0;0.0;0.0;0.0;0.031431369;0.0;0.0;0.0;0.055555333;0.008130081;0.0;0.05;0.007458264;0.004205864;0.0;1.0
C10046;0.279152808;1.0;0.031106309;0.011525652;0.046917333;0.0;1.0;0.333333;1.0;0.0;0.0;0.055865922;0.283333333;0.028199915;0.017259264;0.0;1.0
C10047;0.117749061;1.0;0.008911171;0.002379711;0.015111111;0.00391726;0.333333;0.083333;0.333333;0.111111333;0.016260163;0.01396648;0.08;0.0;0.0;0.0;1.0
C10048;0.024914336;0.5;0.002237785;0.0;0.004877333;0.021504444;0.375;0.0;0.25;0.083333333;0.008130081;0.008379888;0.056666667;0.003470186;0.001926542;0.0;0.666666667
C10049;0.205329139;1.0;0.0;0.0;0.0;0.042023555;0.0;0.0;0.0;0.333333333;0.056910569;0.0;0.14;0.0;0.0;0.0;1.0
C10050;0.012070866;1.0;0.048748388;0.034418228;0.043896444;0.0;1.0;0.666667;1.0;0.0;0.0;0.24301676;0.11;0.050155346;0.002298999;0.916667;1.0
C10051;0.045360686;1.0;0.010348786;0.01245055;0.0;0.014746251;0.166667;0.166667;0.0;0.055555333;0.016260163;0.008379888;0.133333333;0.011590088;0.003749024;0.083333;1.0
C10053;0.056654976;1.0;0.063374332;0.054506179;0.039382667;0.0;0.666667;0.583333;0.5;0.0;0.0;0.05027933;0.083333333;0.027598332;0.017308104;0.0;1.0
C10054;0.082217597;1.0;0.0;0.0;0.0;0.006817525;0.0;0.0;0.0;0.166666667;0.024390244;0.0;0.116666667;0.013639689;0.007610402;0.0;1.0
C10055;0.024401133;0.888889;0.040359652;0.048556411;0.0;0.042031877;0.666667;0.666667;0.0;0.074074;0.008130081;0.030726257;0.1;0.061316281;0.001733447;0.2;0.75
